iter	Passed	Remaining
401	20017	179165
402	20069	179132
403	20121	179098
404	20169	179036
405	20220	179000
406	20270	178948
407	20321	178910
408	20370	178856
409	20420	178801
410	20469	178749
411	20519	178696
412	20568	178645
413	20618	178597
414	20668	178543
415	20718	178493
416	20768	178454
417	20817	178395
418	20867	178343
419	20918	178306
420	20967	178252
421	21017	178199
422	21069	178167
423	21118	178115
424	21168	178062
425	21219	178023
426	21269	177976
427	21318	177918
428	21369	177879
429	21418	177824
430	21467	177765
431	21516	177708
432	21564	177645
433	21615	177604
434	21665	177556
435	21715	177510
436	21764	177456
437	21817	177431
438	21868	177385
439	21916	177323
440	21968	177293
441	22018	177241
442	22066	177179
443	22116	177132
444	22167	177092
445	22216	177032
446	22265	176980
447	22314	176920
448	22363	176866
449	22412	176806
450	22460	176745
451	22512	176710
452	22562	176661
453	22612	176614
454	22662	176566
455	22711	176508
456	22759	176448
457	22808	176392
458	22859	176350
459	22907	176289
460	22958	176245
461	23008	176195
462	23056	176138
463	23105	176081
464	23155	176034
465	23206	175988
466	23255	175932
467	23304	175879
468	23354	175829
469	23404	175782
470	23455	175744
471	23505	175690
472	23555	175645
473	23606	175603
474	23657	175560
475	23707	175513
476	23756	175459
477	23807	175419
478	23858	175376
479	23907	175320
480	23958	175283
481	24009	175236
482	24060	175198
483	24110	175147
484	24158	175085
485	24209	175044
486	24258	174987
487	24310	174953
488	24360	174905
489	24408	174846
490	24458	174794
491	24508	174747
492	24559	174703
493	24608	174652
494	24658	174601
495	24707	174549
496	24758	174506
497	24807	174451
498	24858	174406
499	24907	174354
500	24956	174294
501	25006	174249
502	25055	174195
503	25106	174149
504	25156	174105
505	25206	174056
506	25256	174008
507	25305	173947
508	25356	173908
509	25407	173868
510	25457	173816
511	25507	173769
512	25563	173764
513	25612	173706
514	25661	173654
515	25712	173611
516	25768	173597
517	25818	173552
518	25869	173511
519	25919	173459
520	25969	173412
521	26018	173359
522	26069	173314
523	26118	173262
524	26170	173220
525	26220	173176
526	26272	173137
527	26323	173096
528	26372	173038
529	26422	172991
530	26471	172936
531	26522	172897
532	26572	172843
533	26622	172799
534	26673	172752
535	26722	172700
536	26771	172644
537	26821	172593
538	26871	172546
539	26920	172491
540	26971	172450
541	27023	172412
542	27073	172360
543	27122	172305
544	27172	172261
545	27222	172212
546	27274	172171
547	27322	172114
548	27370	172053
549	27421	172005
550	27471	171956
551	27520	171900
552	27570	171852
553	27621	171814
554	27672	171767
555	27721	171711
556	27769	171652
557	27819	171603
558	27869	171555
559	27919	171503
560	27968	171448
561	28018	171402
562	28069	171356
563	28119	171309
564	28170	171263
565	28219	171208
566	28268	171154
567	28318	171109
568	28369	171065
569	28419	171018
570	28471	170976
571	28520	170923
572	28569	170869
573	28620	170827
574	28673	170792
575	28722	170740
576	28771	170685
577	28820	170629
578	28870	170581
579	28919	170527
580	28968	170470
581	29019	170425
582	29068	170371
583	29117	170320
584	29166	170262
585	29217	170217
586	29266	170166
587	29317	170122
588	29369	170085
589	29420	170040
590	29471	169997
591	29520	169941
592	29569	169885
593	29618	169832
594	29668	169782
595	29718	169732
596	29768	169684
597	29819	169639
598	29869	169592
599	29919	169542
600	29967	169483
601	30018	169440
602	30068	169391
603	30117	169337
604	30169	169298
605	30220	169253
606	30270	169207
607	30319	169151
608	30369	169104
609	30420	169055
610	30469	169005
611	30520	168958
612	30571	168918
613	30621	168867
614	30670	168814
615	30720	168765
616	30771	168716
617	30820	168666
618	30870	168617
619	30921	168572
620	30971	168523
621	31021	168475
622	31071	168427
623	31122	168378
624	31171	168327
625	31220	168272
626	31270	168224
627	31320	168172
628	31370	168123
629	31420	168077
630	31470	168024
631	31520	167977
632	31571	167934
633	31622	167888
634	31672	167838
635	31721	167782
636	31770	167731
637	31820	167678
638	31869	167626
639	31919	167577
640	31969	167527
641	32019	167480
642	32071	167439
643	32123	167399
644	32173	167349
645	32223	167302
646	32272	167250
647	32322	167197
648	32374	167157
649	32424	167112
650	32474	167060
651	32526	167020
652	32576	166972
653	32624	166915
654	32675	166868
655	32726	166823
656	32776	166777
657	32827	166730
658	32879	166693
659	32928	166639
660	32978	166588
661	33028	166537
662	33077	166487
663	33128	166440
664	33180	166399
665	33230	166351
666	33281	166308
667	33330	166255
668	33380	166204
669	33432	166163
670	33481	166111
671	33531	166062
672	33580	166008
673	33630	165955
674	33679	165901
675	33729	165855
676	33778	165797
677	33829	165756
678	33879	165702
679	33928	165651
680	33978	165599
681	34029	165557
682	34079	165508
683	34128	165452
684	34178	165402
685	34227	165349
686	34276	165296
687	34327	165252
688	34376	165195
689	34427	165152
690	34478	165106
691	34530	165067
692	34581	165021
693	34630	164967
694	34679	164914
695	34729	164863
696	34781	164823
697	34832	164781
698	34883	164734
699	34934	164692
700	34983	164638
701	35033	164587
702	35084	164543
703	35134	164493
704	35185	164446
705	35237	164406
706	35288	164361
707	35338	164315
708	35388	164265
709	35439	164219
710	35488	164164
711	35537	164112
712	35586	164058
713	35636	164005
714	35686	163956
715	35736	163906
716	35786	163860
717	35838	163817
718	35886	163761
719	35938	163720
720	35989	163675
721	36038	163620
722	36086	163563
723	36137	163519
724	36188	163473
725	36239	163425
726	36287	163367
727	36337	163320
728	36386	163263
729	36435	163209
730	36484	163157
731	36535	163110
732	36584	163058
733	36632	163001
734	36685	162961
735	36734	162909
736	36783	162856
737	36834	162809
738	36883	162757
739	36932	162704
740	36982	162653
741	37033	162606
742	37082	162552
743	37132	162505
744	37182	162454
745	37232	162405
746	37284	162365
747	37333	162312
748	37382	162258
749	37433	162211
750	37484	162165
751	37534	162116
752	37583	162061
753	37633	162013
754	37683	161964
755	37733	161914
756	37783	161865
757	37833	161814
758	37884	161768
759	37933	161715
760	37982	161664
761	38033	161616
762	38084	161570
763	38133	161518
764	38183	161469
765	38232	161414
766	38281	161362
767	38330	161307
768	38379	161254
769	38428	161200
770	38478	161149
771	38527	161095
772	38576	161044
773	38626	160993
774	38675	160941
775	38727	160897
776	38775	160842
777	38826	160795
778	38875	160741
779	38925	160693
780	38975	160644
781	39027	160601
782	39078	160557
783	39130	160515
784	39182	160473
785	39233	160426
786	39282	160375
787	39332	160325
788	39381	160272
789	39430	160218
790	39481	160173
791	39533	160129
792	39583	160082
793	39634	160034
794	39684	159985
795	39734	159935
796	39783	159881
797	39834	159836
798	39884	159786
799	39933	159732
800	39983	159684
801	40033	159633
802	40084	159589
803	40133	159537
804	40184	159489
805	40235	159443
806	40286	159400
807	40336	159348
808	40386	159298
809	40435	159244
810	40485	159197
811	40536	159149
812	40584	159093
813	40634	159044
814	40685	158997
815	40735	158948
816	40784	158896
817	40834	158845
818	40884	158796
819	40935	158749
820	40985	158702
821	41036	158654
822	41086	158606
823	41138	158564
824	41187	158509
825	41237	158458
826	41286	158405
827	41336	158357
828	41386	158306
829	41435	158252
830	41485	158203
831	41535	158152
832	41584	158100
833	41635	158054
834	41685	158005
835	41735	157957
836	41785	157906
837	41835	157855
838	41885	157808
839	41935	157755
840	41985	157707
841	42035	157657
842	42084	157603
843	42134	157554
844	42184	157503
845	42233	157452
846	42285	157408
847	42334	157355
848	42385	157309
849	42436	157265
850	42487	157219
851	42537	157168
852	42586	157117
853	42637	157068
854	42686	157017
855	42736	156967
856	42786	156915
857	42836	156867
858	42886	156819
859	42936	156769
860	42986	156717
861	43036	156668
862	43086	156618
863	43136	156569
864	43186	156521
865	43237	156473
866	43287	156422
867	43336	156369
868	43386	156321
869	43436	156269
870	43487	156224
871	43536	156172
872	43586	156122
873	43635	156070
874	43684	156015
875	43733	155962
876	43785	155919
877	43836	155873
878	43884	155818
879	43933	155763
880	43983	155714
881	44034	155667
882	44082	155613
883	44131	155559
884	44181	155507
885	44231	155460
886	44281	155409
887	44330	155356
888	44380	155305
889	44430	155257
890	44480	155209
891	44531	155160
892	44581	155113
893	44631	155061
894	44682	155016
895	44733	154968
896	44783	154920
897	44832	154868
898	44884	154824
899	44935	154777
900	44985	154727
901	45033	154671
902	45083	154622
903	45132	154569
904	45182	154520
905	45232	154470
906	45283	154423
907	45333	154372
908	45382	154320
909	45434	154276
910	45483	154226
911	45533	154176
912	45584	154128
913	45635	154082
914	45685	154033
915	45736	153986
916	45788	153943
917	45838	153894
918	45890	153850
919	45942	153805
920	45992	153757
921	46043	153709
922	46092	153659
923	46141	153604
924	46192	153557
925	46242	153509
926	46292	153457
927	46344	153414
928	46393	153363
929	46443	153313
930	46493	153264
931	46542	153211
932	46592	153161
933	46644	153117
934	46692	153060
935	46743	153015
936	46795	152971
937	46844	152917
938	46895	152871
939	46945	152824
940	46995	152771
941	47046	152726
942	47097	152681
943	47147	152629
944	47197	152579
945	47247	152530
946	47297	152480
947	47349	152435
948	47399	152389
949	47450	152341
950	47500	152292
951	47549	152238
952	47598	152185
953	47647	152133
954	47698	152084
955	47749	152037
956	47798	151985
957	47848	151936
958	47898	151888
959	47949	151840
960	47999	151790
961	48050	151744
962	48102	151701
963	48150	151645
964	48202	151599
965	48251	151546
966	48299	151491
967	48348	151439
968	48399	151391
969	48450	151346
970	48501	151298
971	48550	151247
972	48600	151196
973	48650	151147
974	48702	151102
975	48752	151053
976	48801	151000
977	48851	150950
978	48902	150903
979	48954	150860
980	49005	150811
981	49055	150763
982	49106	150716
983	49156	150666
984	49207	150619
985	49257	150570
986	49308	150521
987	49357	150469
988	49405	150415
989	49456	150366
990	49505	150314
991	49553	150260
992	49606	150217
993	49655	150165
994	49706	150117
995	49757	150070
996	49807	150022
997	49857	149973
998	49909	149927
999	49958	149874
1000	50007	149824
1001	50058	149776
1002	50109	149729
1003	50160	149681
1004	50209	149628
1005	50260	149581
1006	50311	149536
1007	50360	149483
1008	50412	149438
1009	50461	149386
1010	50512	149339
1011	50562	149289
1012	50611	149236
1013	50662	149189
1014	50714	149144
1015	50764	149096
1016	50814	149046
1017	50864	148995
1018	50913	148943
1019	50962	148890
1020	51012	148841
1021	51061	148788
1022	51109	148733
1023	51160	148685
1024	51233	148700
1025	51285	148657
1026	51335	148607
1027	51384	148555
1028	51434	148504
1029	51485	148457
1030	51536	148410
1031	51585	148357
1032	51633	148302
1033	51682	148250
1034	51732	148200
1035	51783	148152
1036	51833	148102
1037	51884	148056
1038	51935	148008
1039	51984	147956
1040	52033	147903
1041	52082	147850
1042	52133	147803
1043	52183	147753
1044	52234	147704
1045	52285	147658
1046	52334	147607
1047	52384	147556
1048	52435	147509
1049	52485	147459
1050	52535	147410
1051	52587	147366
1052	52636	147313
1053	52688	147267
1054	52739	147219
1055	52788	147168
1056	52839	147121
1057	52890	147072
1058	52940	147022
1059	52989	146971
1060	53040	146924
1061	53091	146877
1062	53144	146833
1063	53193	146781
1064	53244	146734
1065	53293	146681
1066	53343	146631
1067	53391	146577
1068	53441	146526
1069	53491	146475
1070	53542	146428
1071	53591	146377
1072	53643	146332
1073	53692	146280
1074	53741	146226
1075	53792	146180
1076	53842	146129
1077	53893	146082
1078	53944	146034
1079	53993	145982
1080	54043	145933
1081	54094	145884
1082	54144	145835
1083	54195	145787
1084	54245	145736
1085	54298	145695
1086	54347	145643
1087	54398	145594
1088	54447	145543
1089	54498	145496
1090	54546	145441
1091	54595	145388
1092	54644	145335
1093	54694	145286
1094	54746	145239
1095	54795	145188
1096	54845	145136
1097	54894	145085
1098	54944	145035
1099	54994	144984
1100	55043	144932
1101	55093	144882
1102	55143	144833
1103	55193	144781
1104	55243	144732
1105	55293	144682
1106	55342	144631
1107	55399	144598
1108	55448	144546
1109	55499	144497
1110	55550	144450
1111	55600	144401
1112	55650	144350
1113	55699	144298
1114	55754	144262
1115	55804	144212
1116	55855	144163
1117	55905	144112
1118	55954	144062
1119	56005	144012
1120	56056	143966
1121	56105	143913
1122	56155	143863
1123	56205	143813
1124	56256	143766
1125	56306	143715
1126	56355	143664
1127	56404	143612
1128	56456	143565
1129	56506	143517
1130	56558	143470
1131	56610	143426
1132	56661	143377
1133	56710	143327
1134	56760	143275
1135	56811	143228
1136	56861	143178
1137	56911	143128
1138	56959	143073
1139	57011	143028
1140	57062	142980
1141	57113	142933
1142	57164	142885
1143	57214	142835
1144	57264	142785
1145	57315	142737
1146	57367	142692
1147	57418	142645
1148	57468	142596
1149	57518	142546
1150	57569	142499
1151	57619	142449
1152	57670	142400
1153	57719	142348
1154	57769	142298
1155	57820	142249
1156	57869	142197
1157	57920	142150
1158	57970	142100
1159	58020	142050
1160	58070	141999
1161	58119	141947
1162	58170	141900
1163	58220	141849
1164	58269	141798
1165	58318	141745
1166	58369	141697
1167	58420	141650
1168	58471	141602
1169	58520	141548
1170	58569	141498
1171	58620	141450
1172	58671	141400
1173	58720	141350
1174	58770	141299
1175	58820	141249
1176	58872	141203
1177	58920	141148
1178	58970	141098
1179	59021	141050
1180	59071	141000
1181	59120	140948
1182	59170	140897
1183	59220	140849
1184	59271	140799
1185	59322	140752
1186	59372	140703
1187	59423	140654
1188	59473	140606
1189	59524	140556
1190	59573	140504
1191	59624	140456
1192	59674	140407
1193	59725	140359
1194	59774	140308
1195	59824	140257
1196	59875	140208
1197	59924	140158
1198	59975	140109
1199	60024	140057
1200	60073	140004
1201	60124	139957
1202	60176	139910
1203	60228	139865
1204	60280	139820
1205	60329	139767
1206	60379	139719
1207	60428	139665
1208	60478	139616
1209	60529	139567
1210	60580	139521
1211	60630	139469
1212	60680	139420
1213	60730	139369
1214	60781	139321
1215	60833	139276
1216	60882	139224
1217	60931	139172
1218	60980	139119
1219	61031	139072
1220	61082	139024
1221	61132	138974
1222	61182	138924
1223	61233	138875
1224	61284	138827
1225	61333	138774
1226	61383	138725
1227	61434	138677
1228	61484	138627
1229	61534	138578
1230	61585	138528
1231	61635	138480
1232	61685	138428
1233	61735	138379
1234	61785	138330
1235	61836	138282
1236	61886	138230
1237	61937	138182
1238	61988	138136
1239	62037	138083
1240	62088	138035
1241	62138	137986
1242	62190	137938
1243	62240	137889
1244	62291	137841
1245	62341	137790
1246	62392	137744
1247	62443	137696
1248	62492	137644
1249	62541	137590
1250	62590	137538
1251	62640	137488
1252	62692	137442
1253	62743	137396
1254	62793	137344
1255	62843	137294
1256	62893	137243
1257	62943	137194
1258	62994	137146
1259	63045	137099
1260	63096	137050
1261	63145	136999
1262	63195	136948
1263	63245	136898
1264	63295	136847
1265	63343	136794
1266	63394	136746
1267	63445	136699
1268	63494	136646
1269	63543	136594
1270	63594	136546
1271	63645	136496
1272	63694	136446
1273	63746	136399
1274	63797	136352
1275	63847	136301
1276	63898	136252
1277	63946	136200
1278	63995	136146
1279	64046	136097
1280	64096	136049
1281	64146	135999
1282	64196	135947
1283	64246	135898
1284	64298	135853
1285	64350	135806
1286	64400	135756
1287	64449	135704
1288	64499	135655
1289	64548	135602
1290	64599	135554
1291	64649	135503
1292	64700	135455
1293	64750	135405
1294	64800	135356
1295	64849	135304
1296	64901	135257
1297	64950	135205
1298	65001	135157
1299	65049	135102
1300	65100	135055
1301	65150	135003
1302	65199	134953
1303	65251	134905
1304	65302	134858
1305	65351	134806
1306	65400	134754
1307	65452	134707
1308	65502	134658
1309	65553	134610
1310	65604	134561
1311	65656	134514
1312	65706	134466
1313	65756	134415
1314	65806	134365
1315	65856	134315
1316	65906	134265
1317	65957	134216
1318	66007	134166
1319	66057	134115
1320	66109	134069
1321	66159	134021
1322	66209	133969
1323	66259	133920
1324	66309	133870
1325	66359	133820
1326	66410	133771
1327	66460	133721
1328	66509	133669
1329	66560	133622
1330	66610	133571
1331	66660	133521
1332	66710	133470
1333	66760	133421
1334	66811	133372
1335	66861	133323
1336	66912	133274
1337	66963	133225
1338	67012	133173
1339	67062	133124
1340	67113	133075
1341	67164	133027
1342	67215	132979
1343	67264	132927
1344	67313	132876
1345	67364	132826
1346	67414	132776
1347	67465	132728
1348	67517	132682
1349	67567	132632
1350	67617	132581
1351	67668	132533
1352	67718	132483
1353	67768	132434
1354	67818	132384
1355	67870	132336
1356	67922	132291
1357	67972	132241
1358	68023	132192
1359	68072	132140
1360	68123	132092
1361	68172	132039
1362	68223	131992
1363	68273	131941
1364	68322	131889
1365	68373	131841
1366	68423	131791
1367	68472	131739
1368	68521	131687
1369	68571	131636
1370	68621	131586
1371	68670	131535
1372	68720	131485
1373	68769	131433
1374	68820	131383
1375	68870	131334
1376	68921	131285
1377	68971	131236
1378	69022	131187
1379	69073	131138
1380	69123	131089
1381	69174	131040
1382	69223	130989
1383	69273	130938
1384	69324	130889
1385	69374	130840
1386	69423	130788
1387	69472	130736
1388	69520	130683
1389	69569	130630
1390	69620	130582
1391	69669	130529
1392	69718	130477
1393	69770	130431
1394	69820	130381
1395	69872	130334
1396	69920	130281
1397	69972	130235
1398	70022	130184
1399	70072	130134
1400	70124	130088
1401	70175	130040
1402	70226	129991
1403	70275	129940
1404	70326	129891
1405	70377	129842
1406	70429	129796
1407	70481	129749
1408	70532	129701
1409	70583	129653
1410	70633	129603
1411	70685	129556
1412	70735	129507
1413	70785	129457
1414	70835	129406
1415	70886	129357
1416	70936	129306
1417	70986	129258
1418	71037	129208
1419	71088	129160
1420	71138	129111
1421	71187	129058
1422	71235	129005
1423	71285	128954
1424	71335	128904
1425	71387	128857
1426	71436	128805
1427	71487	128756
1428	71538	128708
1429	71588	128659
1430	71640	128611
1431	71690	128562
1432	71742	128514
1433	71792	128464
1434	71842	128414
1435	71891	128363
1436	71942	128315
1437	71990	128261
1438	72040	128211
1439	72091	128162
1440	72142	128114
1441	72192	128064
1442	72242	128014
1443	72294	127966
1444	72343	127915
1445	72394	127867
1446	72444	127816
1447	72494	127766
1448	72544	127715
1449	72593	127664
1450	72645	127616
1451	72695	127568
1452	72747	127520
1453	72798	127472
1454	72849	127423
1455	72898	127372
1456	72947	127320
1457	72999	127272
1458	73049	127224
1459	73098	127172
1460	73148	127121
1461	73198	127071
1462	73248	127020
1463	73299	126972
1464	73349	126921
1465	73399	126872
1466	73450	126824
1467	73499	126772
1468	73549	126722
1469	73600	126673
1470	73650	126622
1471	73700	126572
1472	73751	126523
1473	73800	126471
1474	73848	126419
1475	73899	126371
1476	73949	126320
1477	74000	126271
1478	74051	126223
1479	74103	126175
1480	74153	126125
1481	74202	126074
1482	74253	126024
1483	74303	125975
1484	74354	125927
1485	74404	125876
1486	74452	125823
1487	74504	125775
1488	74555	125728
1489	74605	125677
1490	74655	125627
1491	74705	125577
1492	74755	125526
1493	74805	125476
1494	74855	125427
1495	74907	125379
1496	74957	125330
1497	75008	125281
1498	75059	125232
1499	75110	125184
1500	75161	125135
1501	75212	125087
1502	75263	125038
1503	75314	124989
1504	75364	124940
1505	75414	124890
1506	75463	124838
1507	75512	124785
1508	75562	124736
1509	75612	124685
1510	75662	124635
1511	75712	124585
1512	75764	124538
1513	75813	124485
1514	75863	124436
1515	75915	124388
1516	75965	124339
1517	76016	124290
1518	76064	124237
1519	76114	124187
1520	76165	124137
1521	76215	124087
1522	76266	124038
1523	76317	123991
1524	76367	123941
1525	76417	123890
1526	76467	123839
1527	76517	123789
1528	76565	123736
1529	76615	123687
1530	76665	123635
1531	76714	123583
1532	76766	123537
1533	76815	123485
1534	76864	123433
1535	76914	123383
1536	76963	123332
1537	77014	123283
1538	77063	123231
1539	77113	123180
1540	77162	123129
1541	77209	123074
1542	77260	123025
1543	77310	122975
1544	77361	122927
1545	77412	122879
1546	77461	122826
1547	77510	122775
1548	77562	122727
1549	77611	122676
1550	77660	122624
1551	77710	122574
1552	77760	122523
1553	77809	122471
1554	77859	122422
1555	77909	122371
1556	77958	122320
1557	78008	122270
1558	78057	122218
1559	78107	122167
1560	78157	122117
1561	78207	122068
1562	78257	122017
1563	78306	121966
1564	78357	121916
1565	78406	121864
1566	78455	121814
1567	78504	121761
1568	78554	121711
1569	78604	121661
1570	78655	121612
1571	78705	121562
1572	78755	121512
1573	78806	121464
1574	78856	121414
1575	78906	121364
1576	78956	121314
1577	79006	121263
1578	79056	121213
1579	79106	121163
1580	79157	121114
1581	79208	121065
1582	79257	121014
1583	79307	120964
1584	79357	120914
1585	79408	120865
1586	79460	120817
1587	79508	120765
1588	79559	120715
1589	79608	120664
1590	79659	120616
1591	79709	120565
1592	79759	120514
1593	79809	120464
1594	79859	120415
1595	79908	120364
1596	79958	120312
1597	80008	120262
1598	80059	120214
1599	80108	120163
1600	80158	120112
1601	80209	120063
1602	80259	120014
1603	80310	119965
1604	80361	119916
1605	80411	119866
1606	80462	119817
1607	80511	119766
1608	80563	119718
1609	80612	119667
1610	80661	119615
1611	80711	119565
1612	80760	119512
1613	80809	119461
1614	80858	119410
1615	80908	119360
1616	80958	119309
1617	81008	119260
1618	81058	119209
1619	81106	119156
1620	81157	119107
1621	81208	119059
1622	81257	119008
1623	81308	118958
1624	81357	118907
1625	81406	118856
1626	81457	118807
1627	81508	118757
1628	81558	118708
1629	81609	118659
1630	81660	118610
1631	81709	118559
1632	81759	118509
1633	81808	118457
1634	81859	118408
1635	81908	118357
1636	81960	118309
1637	82010	118259
1638	82061	118209
1639	82110	118159
1640	82161	118110
1641	82211	118059
1642	82260	118008
1643	82309	117957
1644	82359	117906
1645	82409	117856
1646	82460	117807
1647	82511	117759
1648	82562	117710
1649	82611	117659
1650	82661	117608
1651	82711	117557
1652	82760	117507
1653	82811	117458
1654	82860	117406
1655	82911	117358
1656	82962	117309
1657	83012	117258
1658	83062	117208
1659	83113	117160
1660	83163	117109
1661	83213	117060
1662	83263	117009
1663	83313	116959
