target,n_imputed,rmse_base,rmse_overlay,rmse_diff_base_minus_overlay,mae_base,mae_overlay,mae_diff_base_minus_overlay,r2_base,r2_overlay,r2_diff_overlay_minus_base
t4ppr,24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
t5ppr,41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
t6ppr,36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
t7ppr,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
t8ppr,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
t9ppr,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
t10ppr,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
t11ppr,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
t12ppr,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
l1ppr,3,0.0,0.0,0.0,0.0,0.0,0.0,,,
l2ppr,2,0.0,0.0,0.0,0.0,0.0,0.0,,,
l3ppr,0,,,,,,,,,
l4ppr,0,,,,,,,,,
l5ppr,0,,,,,,,,,
s1ppr,0,,,,,,,,,
s2ppr,0,,,,,,,,,
s3ppr,0,,,,,,,,,
s45ppr,174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
anyana,172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
